PM2.5,PM10,NO,NO2,NH3,CO,SO2,Actual,Predicted
-0.39481745941371743,-0.2132201469766426,-0.5897780277265934,-0.5498704809347444,-0.2620927062074654,-0.1884578517082361,-0.539428554117057,1,0
0.4079582221494073,0.7328949784027626,0.2729721676316673,0.8440589344542987,-0.049115883657335456,-0.16990214555677818,-0.1535530381571839,2,0
-0.15253975871796638,-0.37941894184187885,-0.36836426077624324,-0.7707395784435717,-0.4359422628193669,-0.2455523321742604,-0.44484553291185497,1,0
-0.3511464623366834,-0.2132201469766426,-0.5399262465268188,-0.9228938456163193,-0.2620927062074654,-0.0828330628460911,-0.477920577136987,1,0
-0.6611784305563622,-0.644760753029403,-0.3903709029274951,-0.03328220287243177,-0.41548937380620193,-0.16990214555677818,-0.38972045920330173,3,0
-0.6889544691384464,-1.0693600382564286,-0.7442736379313002,0.502938883857332,-0.7080546122988648,-0.21557772992959764,-0.45354949191846866,3,0
-0.7229921580367228,-0.6623105075699403,-0.6742116751640495,-0.7290198600252377,0.10961632020570501,-0.2512617802208628,-0.05838975301820765,3,0
-0.5560148162715929,-0.3194354524421325,-0.47345720492711935,0.07715234588198183,0.18876010812621247,-0.22414190199950126,-0.385658611666882,3,0
-0.0012968203114737825,-0.2132201469766426,-0.3957602846788221,-0.3204120296339072,0.009575015250007248,-0.21843245395289887,-0.48082189680585813,3,0
-0.8275135517762415,-0.944154326758268,0.12700974519989494,-0.15557824019676397,-0.8285488062677274,-0.22985135004610371,-0.6061589065010952,3,0
-0.34392148120261534,-0.2132201469766426,-0.34186646716555225,-0.29341691771616163,-0.2620927062074654,-0.1527738014169709,0.7766100476829313,3,0
0.19056656758211304,0.825620547169183,0.5671425882249317,0.15363849631559412,-0.5479885243697483,-0.19844938578979035,-0.29455717406432547,1,0
-0.3240126442998498,-0.29271791567892663,-0.5843886459752664,-0.10486015113918135,-0.049115883657335456,-0.2669627623490195,-0.5881707245540936,3,0
2.0009862846432718,-0.2132201469766426,-0.5242072164187818,0.6109193315283142,0.6405021785039411,-0.27267221039562195,-0.21680180693857662,5,0
-0.22141791219608245,-0.13581787135382584,1.045899333801145,-0.5723664075328657,-0.7333984095543082,-0.19559466176648913,-0.22608602987896456,1,0
-0.5686986720402902,-0.5301634752460448,-0.5291474830241649,1.141823199243977,1.454171458810283,-0.31263834672183893,-0.5017113984217311,1,0
-0.33091651516129267,-0.2132201469766426,-0.37060983650596285,1.6625016457786754,-0.2620927062074654,0.9848337218685635,2.817978566700726,5,1
-0.3864685923254609,-0.2132201469766426,0.05021105524348559,0.8501941871628772,-0.2620927062074654,-0.20558619584804336,2.180268503482831,3,0
-0.07402829706109278,0.2794826633330645,-0.49770942280809083,-0.40057933169266674,-0.6418050370170917,0.16695528919276525,-0.04678447434272279,1,0
3.6360797928510444,-0.2132201469766426,-0.5345368647754919,-0.5776836265469671,-0.2620927062074654,-0.19844938578979035,-0.6241470884480967,5,0
-0.7677870410679452,-0.9212348712015964,-0.47435543521900714,-0.19934304285129087,-0.4559505238105064,-0.2284239880344531,-0.5951338917593845,3,0
-0.6231268632502701,-0.8406893559595788,-0.5107337620404644,-0.11385852177842996,-0.49685630183683616,-0.27409957240727256,-0.534786442646863,3,0
-0.11224041950349756,0.10922385062636064,0.30800314901529274,0.8771892990806228,0.46442948178191296,-0.19987674780144096,0.15340658280939176,1,0
-0.7201021655830955,-0.8730385303738527,-0.6939727415855816,-1.0374185628431187,-0.8160992216510183,-0.15562852544027211,-0.6189247130441285,3,0
-0.9167822075660611,-1.1836953794048535,0.46160052892811176,-0.38053750617797694,-0.44616870732594927,-0.2512617802208628,-0.09900822838240488,3,0
2.347945934214854,3.711769359182743,4.358572650283462,2.6416879780678095,1.1620508483396457,-0.20130410981309155,0.5961479642791411,5,0
-0.5006232942437372,0.09835348027662497,-0.687236014396423,0.7818883736740361,1.0144343450272382,-0.31263834672183893,-0.2458150036272889,1,0
-0.6244113043407711,-1.0980420997816347,-0.47255897463523155,-0.5441442450734044,0.32170388671178424,-0.22128717797620007,-0.4518087001171459,3,0
1.1010747456110088,2.3366020257824447,0.26758278588034046,0.13973192350948294,-0.6022331430568378,-0.15991061147522392,1.4613214895365407,5,0
-0.5809008624000497,-0.2132201469766426,-0.665678487391115,-0.5167401163084203,0.23188902626266894,-0.12708128520725995,-0.6734695228189076,3,0
-0.851757377359448,-1.1905057319131216,-0.44561206587859664,-0.80264289252818,-0.667148834272535,-0.09282459692764537,-0.27598872818354964,3,0
-0.4217907223142384,-0.3663221100952093,-0.1896164326905651,0.012936700865526486,-0.506193490299368,-0.26268067631406766,-0.657802396607003,3,0
-0.7661814897048189,-1.0380586103818885,3.397466237963484,-0.9654315977291306,-0.772970303514562,-0.19559466176648913,0.12845523365709924,3,0
-0.4967699709722342,-0.24949837091491728,0.14587258132953945,0.44649455893840967,-0.6493637133915221,-0.25268914223251343,0.6530138297890169,1,0
0.08588461870628167,1.0155246074958908,2.3438421055790597,1.8027944243815044,0.5453517817905218,-0.2455523321742604,0.8723535967556817,2,0
2.58685197704804,-0.2132201469766426,-0.38812532719777554,-0.8599052511415797,-0.2620927062074654,-0.07997833882278989,0.8758351803583271,5,0
-0.5961536003497491,-0.2132201469766426,-0.5475612040078655,-0.6230844965904483,-0.2620927062074654,-0.2512617802208628,-0.5330456508455403,3,0
